team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Arizona,109,562,1078,442,1220,36,1557,5047,4503,0.19044736842105264,0.2621578947368421,0.3014736842105263,0.5636578947368421,0.23939595825005552,0.36095054592164416,0.07000642260757868,0.08757677828412919,0.24172775906479096,2021
Atlanta,202,710,1169,480,1308,61,1608,5347,4741,0.13927272727272727,0.18903030303030305,0.23096969696969696,0.42,0.2465724530689728,0.44154228855721395,0.1256218905472637,0.08976996446605573,0.24462315317000188,2021
Baltimore,178,580,1135,392,1260,46,1429,5194,4707,0.1758695652173913,0.22930434782608697,0.29782608695652174,0.5272608695652174,0.24113023157000213,0.4058782365290413,0.1245626312106368,0.07547169811320754,0.24258760107816713,2021
Boston,223,791,1393,482,1292,38,1540,5861,5274,0.18868,0.27049999999999996,0.3102,0.55164,0.26412590064467195,0.5136363636363637,0.1448051948051948,0.08223852584883126,0.22044019791844396,2021
Chicago,306,1192,2130,894,2413,110,2881,9751,8618,0.16990140845070423,0.21820833333333334,0.2603943661971831,0.48170422535211266,0.24715711301926202,0.413745227351614,0.10621312044429018,0.09168290431750589,0.2474617987898677,2021
Cincinnati,222,786,1350,550,1418,36,1886,6131,5397,0.159875,0.21425,0.245675,0.45985,0.2501389660922735,0.41675503711558853,0.11770943796394485,0.08970804110259338,0.23128364051541347,2021
Cleveland,163,557,985,326,1105,87,1259,4564,4136,0.18644,0.24408000000000002,0.2884,0.5324,0.23815280464216634,0.44241461477362987,0.12946783161239078,0.07142857142857142,0.24211218229623138,2021
Colorado,182,736,1329,486,1341,76,1756,5945,5319,0.20041935483870968,0.24635483870967742,0.2963548387096774,0.5427096774193549,0.24985899605188946,0.4191343963553531,0.10364464692482915,0.0817493692178301,0.2255677039529016,2021
Detroit,173,685,1275,484,1485,88,1583,5851,5256,0.16333333333333336,0.23896666666666666,0.2731,0.5121333333333333,0.2425799086757991,0.4327226784586229,0.10928616550852811,0.08272090240984448,0.25380276875747737,2021
Houston,225,882,1521,575,1257,44,1664,6360,5654,0.20892,0.26084,0.31496,0.5758,0.26901308807923596,0.5300480769230769,0.13521634615384615,0.09040880503144653,0.19764150943396228,2021
Kansas City,149,626,1234,371,1102,116,1454,5359,4862,0.18045454545454545,0.25556521739130433,0.2750909090909091,0.4968181818181818,0.25380501851090087,0.4305364511691884,0.10247592847317744,0.06922933383093861,0.2056353797350252,2021
Los Angeles,409,1450,2481,1034,2641,137,3285,11444,10131,0.16036986301369863,0.22271621621621623,0.2482054794520548,0.4602876712328767,0.24489191590168788,0.441400304414003,0.12450532724505327,0.09035302341838518,0.23077595246417337,2021
Miami,123,483,1009,357,1260,75,1527,4814,4352,0.14975000000000002,0.18713636363636363,0.2246818181818182,0.4117954545454545,0.23184742647058823,0.3163064833005894,0.08055009823182711,0.0741587037806398,0.2617366015787287,2021
Milwaukee,150,607,1013,489,1232,79,1602,5086,4452,0.12200000000000001,0.24694736842105264,0.1993611111111111,0.40444444444444444,0.2275381850853549,0.37890137328339574,0.09363295880149813,0.09614628391663389,0.24223358238301218,2021
Minnesota,209,684,1224,490,1340,51,1592,5730,5133,0.2042962962962963,0.2521481481481481,0.32603703703703707,0.5782592592592593,0.23845704266510812,0.4296482412060301,0.13128140703517588,0.08551483420593368,0.2338568935427574,2021
New York,362,1221,2348,1034,2630,107,3290,11069,9802,0.17354411764705882,0.2560434782608696,0.26376470588235296,0.5088970588235293,0.239542950418282,0.3711246200607903,0.11003039513677812,0.0934140392086006,0.23760050591742704,2021
Oakland,184,656,1111,519,1210,57,1479,5358,4694,0.2086521739130435,0.25830434782608697,0.3332608695652174,0.5916521739130435,0.23668512995313165,0.44354293441514536,0.12440838404327248,0.09686450167973125,0.22583053378126167,2021
Philadelphia,192,714,1258,554,1365,77,1803,5915,5210,0.15252777777777776,0.20447222222222222,0.2427777777777778,0.44719444444444445,0.24145873320537428,0.39600665557404324,0.1064891846921797,0.09366018596787827,0.23076923076923078,2021
Pittsburgh,96,446,931,385,1018,50,1400,4535,4066,0.14987804878048783,0.19885365853658538,0.21297560975609756,0.41182926829268296,0.22897196261682243,0.31857142857142856,0.06857142857142857,0.08489525909592062,0.2244762954796031,2021
San Diego,177,689,1226,568,1252,99,1728,5753,5055,0.15778787878787878,0.22039393939393942,0.2631212121212121,0.48354545454545456,0.24253214638971315,0.39872685185185186,0.10243055555555555,0.09873109681905093,0.21762558665044324,2021
San Francisco,234,764,1305,562,1408,59,1938,5956,5264,0.17605263157894735,0.2323157894736842,0.2746842105263158,0.5069473684210526,0.24791033434650456,0.3942208462332301,0.12074303405572756,0.09435862995298858,0.2364002686366689,2021
Seattle,191,644,1103,491,1383,55,1468,5485,4884,0.19092592592592594,0.24414814814814817,0.3034074074074074,0.5477777777777777,0.22583947583947583,0.43869209809264303,0.13010899182561309,0.08951686417502279,0.2521422060164084,2021
St. Louis,198,703,1299,469,1321,90,1775,5940,5297,0.14774285714285715,0.20111428571428572,0.23925714285714286,0.4403142857142857,0.24523315084009817,0.39605633802816903,0.1115492957746479,0.07895622895622896,0.2223905723905724,2021
Tampa Bay,205,803,1254,551,1400,88,1581,5780,5115,0.21204761904761907,0.26590476190476187,0.3338095238095238,0.5997142857142856,0.24516129032258063,0.5079063883617964,0.12966476913345984,0.0953287197231834,0.2422145328719723,2021
Texas,128,536,1138,347,1171,98,1426,5286,4845,0.16060714285714286,0.20310714285714287,0.2543214285714286,0.45753571428571427,0.2348813209494324,0.3758765778401122,0.08976157082748948,0.06564510026485054,0.2215285660234582,2021
Toronto,250,782,1343,448,1097,71,1454,5483,4949,0.17049999999999998,0.21868181818181817,0.28854545454545455,0.5073181818181818,0.2713679531218428,0.5378266850068776,0.171939477303989,0.08170709465621011,0.2000729527630859,2021
Washington,112,489,939,431,921,25,1343,4295,3754,0.15848571428571429,0.20857142857142857,0.23714285714285716,0.4456,0.25013319126265315,0.3641102010424423,0.08339538346984364,0.10034924330616997,0.21443538998835857,2021
